Candidate,Votes,Percent
Зеленський Володимир,4354801,11.53
Порошенко Петро,2304800,30.40
Тимошенко Юлія,1895624,16.09
Бойко Юрій,1651292,13.23
Гриценко Анатолій,1010726,7.05
Смешко Ігор,852321,5.95
Ляшко Олег,753821,5.26
Вілкул Олександр,616208,4.30
Кошулинський Руслан,237347,1.65
Тимошенко Юрій,87961,0.61
Шевченко Олександр,80299,0.56
Наливайченко Валентин,33068,0.23
Богомолець Ольга,25902,0.18
Балашов Геннадій,25236,0.17
Безсмертний Роман,20787,0.14
Бондар Віктор,15724,0.10
Литвиненко Юлія,15443,0.10
Дерев’янко Юрій,15286,0.10
Тарута Сергій,14899,0.10
Богословська Інна,14071,0.09
Шевченко Ігор,13959,0.09
Петров Володимир,12183,0.08
Каплін Сергій,11882,0.08
Кармазін Юрій,11508,0.08
Скоцик Віталій,11349,0.07
Мороз Олександр,10010,0.06
Журавльов Василь,8045,0.05
Кривенко Віктор,6786,0.04
Габер Микола,4533,0.03
Кива Ілля,4430,0.03
Ващенко Олександр,4373,0.03
Новак Андрій,4262,0.02
Ригованов Руслан,4085,0.02
Соловйов Олександр,3909,0.02
Данилюк Олександр,3636,0.02
Купрій Віталій,3388,0.02
Корнацький Аркадій,3380,0.02
Носенко Сергій,2463,0.01
Насіров Роман,1980,0.01